Speed(mph);Time;Throttle;Voltage;U Inductor;BackEMF;TotalR;Amperage;Flow;New Force(lbf);Legacy Force(lbf);Power/Motor;AvailPower/Motor;OverLoad
22,3865867615;30,63348;100;850;317,8281;532,0812;0,807;396,9559;476,3471;102,2101;94,39874;337,4125;372,8476;False
22,7582971573;31,13407;100;850;314,699;535,4733;0,807;392,9858;471,583;100,1759;92,72901;334,038;372,8476;False
23,1230415344;31,63459;100;850;311,9593;537,9948;0,807;389,2011;467,0413;98,25566;91,09103;330,8209;372,8476;False
23,4810808182;32,13614;100;850;309,1345;540,9619;0,807;385,525;462,63;96,40834;89,48312;327,6963;372,8476;False
23,8419250488;32,65226;100;850;306,1196;543,8726;0,807;381,819;458,1828;94,56372;87,86179;324,5461;372,8476;False
24,1855207443;33,15282;100;850;303,5074;546,5256;0,807;378,5412;454,2495;92,94709;86,35213;321,76;372,8476;False
24,5227735519;33,65342;100;850;300,6595;549,4686;0,807;375,1454;450,1746;91,28699;85,45478;318,8736;372,8476;False
24,8559150696;34,15398;100;850;298,4397;551,6761;0,807;371,826;446,1912;89,67864;84,56867;316,0521;372,8476;False
25,1858156204;34,65466;100;850;295,6804;554,3959;0,807;368,8086;442,5704;88,22906;83,69077;313,4873;372,8476;False
25,5113233566;35,15522;100;850;293,2808;556,7104;0,807;365,6986;438,8383;86,74732;82,82475;310,8438;372,8476;False
25,833634758;35,6557;100;850;291,2225;558,8934;0,807;362,8683;435,4419;85,40976;81,96736;308,438;372,8476;False
26,1517662048;36,15634;100;850;288,8184;561,2723;0,807;360,0308;432,037;84,07925;81,12086;306,0262;372,8476;False
26,4612493515;36,65683;100;850;286,7037;563,3851;0,807;357,1439;428,5727;82,73629;80,30304;303,5723;372,8476;False
26,7765947342;37,15725;100;850;284,6943;565,4077;0,807;354,564;425,4768;81,54526;79,45863;301,3794;372,8476;False
27,0830514908;37,65795;100;850;282,3239;567,8585;0,807;351,7965;422,1559;80,27728;78,64308;299,0271;372,8476;False
27,3857522964;38,15853;100;850;280,1425;570,0106;0,807;349,0859;418,9031;79,04497;77,83768;296,7231;372,8476;False
27,6859554291;38,65892;100;850;278,4215;571,5925;0,807;346,7064;416,0477;77,97104;77,03914;294,7005;372,8476;False
27,9819047928;39,15953;100;850;276,3961;573,7144;0,807;344,2358;413,0829;76,86375;76,25179;292,6004;372,8476;False
28,2745479584;39,66006;100;850;274,5963;575,4001;0,807;341,8256;410,1907;75,79117;75,47321;290,5517;372,8476;False
28,5634832382;40,16062;100;850;272,5639;577,5125;0,807;339,4562;407,3475;74,74414;74,7044;288,5378;372,8476;False
28,8497028351;40,66117;100;850;270,9017;579,17;0,807;337,2834;404,7401;73,79033;73,94292;286,6909;372,8476;False
29,1323638916;41,16166;100;850;269,0779;580,9659;0,807;335,1527;402,1833;72,86099;73,19078;284,8798;372,8476;False
29,4112277985;41,66239;100;850;267,4464;582,5952;0,807;332,9308;399,517;71,89812;72,44891;282,9912;372,8476;False
29,6876300812;42,16337;100;850;265,6548;584,3284;0,807;330,8871;397,0645;71,01811;71,71269;281,254;372,8476;False
29,9598197937;42,66346;100;850;264,264;585,832;0,807;328,8544;394,6253;70,14825;70,98946;279,5262;372,8476;False
30,229063797;43,16387;100;850;262,7264;587,3009;0,807;326,8581;392,2297;69,29916;70,27304;277,8293;372,8476;False
30,4950839996;43,66459;100;850;260,9189;589,2048;0,807;324,8873;389,8647;68,466;69,56516;276,1542;372,8476;False
30,7580451965;44,16498;100;850;259,6912;590,3115;0,807;322,9662;387,5594;67,6587;68,86576;274,5213;372,8476;False
31,0179027557;44,66563;100;850;258,0364;591,938;0,807;321,1031;385,3237;66,88034;68,17441;272,9376;372,8476;False
31,2745330811;45,16612;100;850;256,515;593,5012;0,807;319,2613;383,1136;66,11531;67,49139;271,3721;372,8476;False
31,5283756256;45,66665;100;850;255,0303;594,9594;0,807;317,511;381,0132;65,39236;66,81604;269,8843;372,8476;False
31,7791660309;46,16732;100;850;253,8651;596,1423;0,807;315,7606;378,9127;64,67336;66,14888;268,3965;372,8476;False
32,0271205902;46,67406;100;850;252,5283;597,6183;0,807;314,1123;376,9348;63,99991;65,4892;266,9954;372,8476;False
32,2799880981;47,18506;100;850;251,1716;598,9243;0,807;312,3887;374,8665;63,2995;64,90109;265,5304;372,8476;False
32,5222881317;47,68551;100;850;249,6564;600,4063;0,807;310,704;372,8448;62,61857;64,49001;264,0984;372,8476;False
32,7633556366;48,18607;100;850;248,4834;601,5562;0,807;309,1761;371,0114;62,00424;64,08105;262,7997;372,8476;False
33,0016078949;48,68654;100;850;247,2254;602,7216;0,807;307,5043;369,0051;61,33549;63,6769;261,3786;372,8476;False
33,2390808105;49,18709;100;850;246,0729;604,0062;0,807;306,0553;367,2663;60,75881;63,27405;260,147;372,8476;False
33,4741195679;49,68772;100;850;244,9144;605,134;0,807;304,5211;365,4254;60,15122;62,87523;258,843;372,8476;False
33,7074520111;50,1882;100;850;243,5631;606,4545;0,807;303,025;363,63;59,5616;62,47943;257,5712;372,8476;False
33,9389820099;50,68877;100;850;420,4344;435,3488;0,80364;415,506;259,2757;58,23277;62,08664;353,1801;372,8476;False
34,168404007;51,18922;100;850;368,5476;481,6749;0,80364;456,6363;284,9411;70,33213;61,69741;388,1409;372,8476;True
34,396799469;51,68985;100;850;365,9048;484,118;0,80364;456,2765;284,7165;70,22132;61,31005;387,835;372,8476;True
34,6227264404;52,19046;100;850;364,3292;485,7001;0,80364;454,5755;283,6551;69,69875;60,92669;386,3892;372,8476;True
34,84752388;52,69129;100;850;362,9682;487,0956;0,80364;452,963;282,6489;69,20514;60,54532;385,0186;372,8476;True
35,0700553894;53,19148;100;850;361,8441;488,2199;0,80364;451,2986;281,6104;68,69749;60,16786;383,6038;372,8476;True
35,2907775879;53,69209;100;850;360,3138;489,7154;0,80364;449,6473;280,5799;68,19568;59,7933;382,2002;372,8476;True
35,5100852966;54,19273;100;850;359,062;490,9326;0,80364;448,0504;279,5835;67,71217;59,42128;380,8429;372,8476;True
35,7281570435;54,69321;100;850;357,9446;492,1207;0,80364;446,5737;278,662;67,26654;59,05133;379,5876;372,8476;True
35,943780899;55,19367;100;850;356,6606;493,4129;0,80364;444,9998;277,6799;66,79325;58,68546;378,2499;372,8476;True
36,1581516266;55,69421;100;850;355,584;494,4399;0,80364;443,4944;276,7405;66,34207;58,32189;376,9702;372,8476;True
36,3706855774;56,19478;100;850;354,1857;495,8356;0,80364;442,0148;275,8173;65,90017;57,96124;375,7126;372,8476;True
36,5813793182;56,69549;100;850;353,1486;496,9099;0,80364;440,4817;274,8606;65,44382;57,6039;374,4095;372,8476;True
36,7904354095;57,19584;100;850;351,9175;498,116;0,80364;438,9748;273,9203;64,99682;57,24923;373,1286;372,8476;True
36,9982280731;57,69661;100;850;350,7042;499,3148;0,80364;437,5616;273,0384;64,57899;56,89666;371,9273;372,8476;False
37,2046714783;58,19686;100;850;349,7636;500,3007;0,80364;436,2375;272,2122;64,18874;56,54648;370,8019;372,8476;False
37,4086978912;58,69766;100;850;348,6317;501,4298;0,80364;434,7343;271,2742;63,74713;56,20041;369,5241;372,8476;False
37,611907196;59,19815;100;850;347,4846;502,5555;0,80364;433,4367;270,4645;63,36717;55,85557;368,4212;372,8476;False
37,8135166168;59,69888;100;850;346,5117;503,5256;0,80364;432,1151;269,6398;62,98132;55,51359;367,2979;372,8476;False
38,0129837036;60,19937;100;850;345,4621;504,5406;0,80364;430,7371;268,78;62,58027;55,17518;366,1266;372,8476;False
38,211297226;60,69994;100;850;344,2609;505,7385;0,80364;429,4397;267,9704;62,20383;54,83871;365,0237;372,8476;False
